file                                                              before   after   wrap  tokSkip  segSkip  lnSkip
interactive-lessons/act-act-algebra-equations-act-part4.ts             4       0      6        0        0       0
interactive-lessons/act-act-english-strategy-act-part4.ts              1       0      1        0        0       0
interactive-lessons/act-act-plane-geometry-act-part2.ts               45       0     50        0        0       0
interactive-lessons/act-act-plane-geometry-act-part3.ts               18       0     10        0        0       0
interactive-lessons/act-act-plane-geometry-act-part4.ts               16       0     17        0        0       0
interactive-lessons/act-act-plane-geometry-act-part5.ts                9       0     10        0        0       0
interactive-lessons/act-act-plane-geometry-act-part6.ts                9       0     10        0        0       0
interactive-lessons/act-act-plane-geometry-act-part7.ts                9       0     10        0        0       0
interactive-lessons/act-act-trigonometry-act-part1.ts                 36       0     30        0        0       0
interactive-lessons/act-act-trigonometry-act-part2.ts                 27       0     30        0        0       0
interactive-lessons/act-act-trigonometry-act-part4.ts                 38       0     40        0        0       0
interactive-lessons/algebra2-exponential-functions-part1.ts            4       0      4        0        0       0
interactive-lessons/algebra2-exponential-functions-part2.ts            3       0      3        0        2       0
interactive-lessons/algebra2-exponential-functions-part3.ts            3       0      3        0        8       0
interactive-lessons/algebra2-exponential-functions-part4.ts            7       0      7        0        0       0
interactive-lessons/algebra2-exponential-functions-part5.ts            1       0      1        0        0       0
interactive-lessons/algebra2-exponential-functions-part6.ts            3       1      2        0        2       0
interactive-lessons/algebra2-exponential-functions-part7.ts            5       0      5        0        0       0
interactive-lessons/algebra2-polynomial-operations-part2.ts            8       0      6        0        0       0
interactive-lessons/algebra2-polynomial-operations-part3.ts            5       0      3        0        0       0
interactive-lessons/algebra2-polynomial-operations-part4.ts            3       0      3        0        0       0
interactive-lessons/algebra2-polynomial-operations-part6.ts            3       0      3        0        0       0
interactive-lessons/apes-atmosphere-climate-part1.ts                  33       0     33        0        0       0
interactive-lessons/apes-atmospheric-pollution-part1.ts               36       0     34        0        0       0
interactive-lessons/apes-biogeochemical-cycles-part1.ts               45       0     36        0        0       0
interactive-lessons/apes-earth-systems-part1.ts                        2       0      2        0        0       0
interactive-lessons/apes-ecosystem-structure-part1.ts                  7       0      7        0        0       0
interactive-lessons/apes-energy-part1.ts                               4       0      4        0        0       0
interactive-lessons/apes-fossil-fuels-nuclear-part1.ts                19       0     19        0        0       0
interactive-lessons/apes-renewable-energy-part1.ts                     4       0      4        0        0       0
interactive-lessons/apprecalc-polynomial-end-behavior-part1.ts         5       0      5        0        0       0
interactive-lessons/apprecalc-polynomial-end-behavior-part2.ts         4       0      4        0        0       0
interactive-lessons/apprecalc-polynomial-end-behavior-part3.ts         1       0      1        0        0       0
interactive-lessons/apprecalc-polynomial-end-behavior-part5.ts         5       0      5        0        0       0
interactive-lessons/apprecalc-polynomial-end-behavior-part6.ts         8       0      8        0        0       0
interactive-lessons/apprecalc-polynomial-end-behavior-part7.ts         3       0      3        0        0       0
interactive-lessons/apprecalc-rational-functions-part1.ts              3       0      3        0        0       0
interactive-lessons/apprecalc-trig-modeling-part5.ts                   4       0      2        0        0       0
interactive-lessons/apstats-hypothesis-testing-part4.ts                1       0      1        0        0       0
interactive-lessons/apstats-normal-distribution-part5.ts               1       0      1        0        0       0
interactive-lessons/bio-biodiversity-conservation-part2.ts             6       2      3        0        0       0
interactive-lessons/bio-biodiversity-conservation-part3.ts             7       0      7        0        1       0
interactive-lessons/bio-biodiversity-conservation-part6.ts             1       0      1        0        2       0
interactive-lessons/bio-biodiversity-conservation-part7.ts             9       0      9        0        0       0
interactive-lessons/bio-biogeochemical-cycles-part1.ts                 7       0      4        0        0       0
interactive-lessons/bio-biogeochemical-cycles-part2.ts                51       0     47        0        0       0
interactive-lessons/bio-biogeochemical-cycles-part3.ts               105       0     69        0        0       0
interactive-lessons/bio-biogeochemical-cycles-part4.ts                40       0     19        0        0       0
interactive-lessons/bio-biogeochemical-cycles-part5.ts                33       0     30        0        0       0
interactive-lessons/bio-biogeochemical-cycles-part6.ts                40       0     37        0        0       0
interactive-lessons/bio-biogeochemical-cycles-part7.ts                35       0     40        0        0       0
interactive-lessons/bio-biological-macromolecules-part4.ts             1       0      1        0        0       0
interactive-lessons/bio-cell-communication-signaling-part4.ts         30       0     20        0        0       0
interactive-lessons/bio-cell-structure-organelles-part1.ts             4       0      4        0        0       0
interactive-lessons/bio-cell-structure-organelles-part3.ts             2       0      1        0        0       0
interactive-lessons/bio-cell-structure-organelles-part4.ts             1       0      1        0        0       1
interactive-lessons/bio-cell-structure-organelles-part5.ts             6       0      6        0        0       0
interactive-lessons/bio-cell-structure-organelles-part7.ts             9       0      8        0        0       0
interactive-lessons/bio-chromosomal-inheritance-patterns-part1.ts       9       0     12        0        0       0
interactive-lessons/bio-chromosomal-inheritance-patterns-part2.ts      42       0     38        0        0       0
interactive-lessons/bio-chromosomal-inheritance-patterns-part7.ts      56       0     54        0        0       0
interactive-lessons/bio-dna-replication-part4.ts                       2       0      2        0        0       0
interactive-lessons/bio-dna-replication-part6.ts                       2       0      2        0        0       0
interactive-lessons/bio-dna-technology-genomics-part2.ts              14       0      8        0        0       0
interactive-lessons/bio-dna-technology-genomics-part3.ts               1       0      1        0        0       0
interactive-lessons/bio-dna-technology-genomics-part4.ts               6       0      2        0        0       0
interactive-lessons/bio-dna-technology-genomics-part7.ts              19       0     15        0        0       0
interactive-lessons/bio-endocrine-system-part6.ts                     22       0     11        0        0       0
interactive-lessons/bio-endocrine-system-part7.ts                      4       0      2        0        0       0
